Company Name,Industry,Sector,state,Founding Year,Annual Revenue 2022-2023 (USD in Billions),Market Cap (USD in Trillions),Stock Name,Annual Income Tax in 2022-2023 (USD in Billions),Employee Size
Roper Technologies,Technology,Electronic Components,FL,1890,5.61,0.046,ROP,0.296,19300
IBM Corporation,Technology,IT Services,NY,1911,60.52,0.113,IBM,-0.626,345000
Texas Instruments Inc.,Technology,Semiconductors,TX,1930,20.02,0.162,TXN,1.283,33000
HP Inc.,Technology,Computer Hardware,CA,1939,59.78,0.028,HPQ,1.238,51000
Automatic Data Processing,Technology,Software Application,NJ,1949,16.67,0.09,ADP,0.855,60000
Broadcom Inc.,Technology,Semiconductors,CA,1961,34.41,0.266,AVGO,0.939,20000
Analog Devices Inc.,Technology,Semiconductors,MA,1965,12.57,0.095,ADI,0.35,24450
Applied Materials Inc.,Technology,Semiconductors,CA,1967,26.25,0.102,AMAT,1.074,33000
Intel Corporation,Technology,Semiconductors,CA,1968,63.05,0.118,INTC,-0.249,131900
Advanced Micro Devices (AMD) Inc.,Technology,Semiconductors,CA,1969,23.6,0.155,AMD,-0.122,25000
Microsoft Corporation,Technology,Software Infrastructure,WA,1975,204.09,2.037,MSFT,15.139,221000
Apple Inc.,Technology,Consumer Electronics,CA,1976,387.53,2.52,AAPL,18.314,164000
Oracle Corporation,Technology,Software Infrastructure,TX,1977,46.07,0.236,ORCL,0.932,143000
Micron Technology,Technology,Semiconductors,ID,1978,27.15,0.064,MU,0.888,49000
Lam Research Corporation,Technology,Semiconductors,CA,1980,19.04,0.069,LRCX,0.588,18700
Adobe Inc.,Technology,Software Infrastructure,CA,1982,17.6,0.172,ADBE,1.252,29239
Autodesk Inc.,Technology,Software Application,CA,1982,5,0.045,ADSK,0.068,12600
IQVIA Holdings,Technology,Software Application,NC,1982,14.41,0.037,IQV,0.26,85000
Intuit Inc.,Technology,Software Application,CA,1983,13.68,0.118,INTU,0.476,17300
Cisco Systems Inc.,Technology,Communication Equipments,CA,1984,53.16,0.208,CSCO,2.665,83300
Fiserv Inc.,Technology,IT Services,WI,1984,17.73,0.071,FISV,0.551,44000
Dell Technologies Inc.,Technology,Computer Hardware,TX,1984,102.3,0.028,DELL,0.981,133000
Qualcomm Inc.,Technology,Semiconductors,CA,1985,42.95,0.138,QCOM,2.012,51000
Synopsys Inc.,Technology,Software Infrastructure,CA,1986,5.17,0.057,SNPS,0.137,19000
Cadence Design Systems Inc.,Technology,Software Application,CA,1988,3.56,0.057,CDNS,0.196,9300
Microchip Technology Inc.,Technology,Semiconductors,AZ,1989,8.05,0.045,MCHP,0.197,21000
NVIDIA Corporation,Technology,Semiconductors,CA,1993,26.97,0.653,NVDA,0.189,22473
Amazon,Technology,Software Application,WA,1994,513.98,1.03,AMZN,-3.217,1541000
Marvell Technology Inc.,Technology,Semiconductors,CA,1995,5.91,0.035,MRVL,0.249,6695
Booking Holdings,Technology,Software Application,CT,1996,17.09,0.097,BKNG,0.865,20700
Netflix,Technology,Software Application,CA,1997,31.61,0.136,NFLX,0.772,12800
KLA Corporation,Technology,Semiconductors,CA,1997,10.48,0.053,KLAC,0.167,14000
Alphabet (Google),Technology,Software Infrastructure,CA,1998,282.83,1.35,GOOG,11.356,190234
PayPal Holdings Inc.,Technology,Software Infrastructure,CA,1998,27.51,0.087,PYPL,0.947,29900
Equinix,Technology,IT Services,CA,1998,7.26,0.064,EQIX,0.125,11451
VMware Inc.,Technology,Software Infrastructure,CA,1998,13.34,0.051,VMW,0.265,37500
Salesforce Inc.,Technology,Software Application,CA,1999,31.35,0.189,CRM,0.452,73541
Fortinet Inc.,Technology,Software Infrastructure,CA,2000,4.41,0.049,FTNT,0.031,11508
Tesla,Technology,Software Infrastructure,TX,2003,81.46,0.625,TSLA,1.132,127855
Meta Platforms,Technology,Software Infrastructure,CA,2004,116.6,0.524,META,5.619,86482
ServiceNow Inc.,Technology,Software Application,CA,2004,7.24,0.09,NOW,0.074,20433
Arista Networks Inc.,Technology,Computer Hardware,CA,2004,4.38,0.052,ANET,0.229,2993
Palo Alto Networks Inc.,Technology,Software Infrastructure,CA,2005,6.15,0.059,PANW,0.06,12561
Workday Inc.,Technology,Software Application,CA,2005,6.21,0.049,WDAY,0.107,17522
Airbnb,Technology,Software Application,CA,2008,8.39,0.078,ABNB,0.096,6132
Activision Blizzard,Technology,Software Application,CA,2008,7.52,0.063,ATVI,0.231,13000
Uber Technologies Inc.,Technology,Software Application,CA,2009,31.87,0.066,UBER,-0.181,32500
Block Inc.,Technology,Software Infrastructure,CA,2009,17.53,0.047,SQ,-0.012,8521
GlobalFoundries,Technology,Semiconductors,NY,2009,8.1,0.038,GFS,0.086,14600
Snowflake Inc.,Technology,Software Application,MT,2012,2.06,0.046,SNOW,0.003,4991
